round,accuracy,f1,precision,recall,num_benign,num_borderline,num_suspect,mean_trust
1,0.61705,0.7631798645681952,0.61705,1.0,61,8,6,0.6648699771580098
2,0.61705,0.7631798645681952,0.61705,1.0,61,11,4,0.6647871109130289
3,0.6181,0.7636757425742575,0.6176985835126884,1.0,55,12,4,0.6681031008278632
4,0.73825,0.8250158772604205,0.7021506599908967,1.0,55,12,5,0.6638019534440603
5,0.96545,0.9727663264099633,0.9469766728054021,1.0,54,16,5,0.6642451095648899
6,0.92525,0.9428887955075066,0.8919485400404741,1.0,61,10,6,0.6807852389444479
7,0.98905,0.9912051724830329,0.9825636942675159,1.0,58,9,4,0.7015868542170003
8,0.9994,0.9995140519964364,0.9990285760543998,1.0,60,10,4,0.7061566441729804
9,0.99835,0.9986647784746105,0.9973331178277033,1.0,57,9,6,0.6976247703959131
10,1.0,1.0,1.0,1.0,48,15,6,0.679445863531471
11,1.0,1.0,1.0,1.0,54,18,5,0.6753314802257885
12,1.0,1.0,1.0,1.0,65,4,5,0.7146644824755112
13,1.0,1.0,1.0,1.0,57,17,4,0.7010554994027104
14,1.0,1.0,1.0,1.0,50,22,6,0.666755345436665
15,1.0,1.0,1.0,1.0,67,5,5,0.7065896953355383
16,1.0,1.0,1.0,1.0,47,22,7,0.6598251570642744
17,1.0,1.0,1.0,1.0,63,3,6,0.7082538105884221
18,1.0,1.0,1.0,1.0,43,15,12,0.6602066791878967
19,1.0,1.0,1.0,1.0,51,10,9,0.67278657238358
20,1.0,1.0,1.0,1.0,51,4,23,0.6422351695055581
21,1.0,1.0,1.0,1.0,57,15,7,0.6690830811871787
22,1.0,1.0,1.0,1.0,52,19,7,0.6759052866227103
23,1.0,1.0,1.0,1.0,35,14,26,0.514581391522301
24,1.0,1.0,1.0,1.0,43,17,18,0.5619839980671407
25,1.0,1.0,1.0,1.0,23,18,30,0.43589012822537604
