round,accuracy,f1,precision,recall,num_benign,num_borderline,num_suspect,mean_trust
1,0.9996,0.9996763754045308,0.9993529602070528,1.0,46,16,10,0.5721706349086014
2,0.67835,0.7934499919730295,0.6576188195220608,1.0,42,23,10,0.5808042387846708
3,1.0,1.0,1.0,1.0,47,12,17,0.5681519448063757
4,0.96185,0.9700490677134446,0.9418400792743349,1.0,39,24,10,0.5773811625332074
5,1.0,1.0,1.0,1.0,44,6,20,0.5575872093686998
6,0.9998,0.9998381615148082,0.9996763754045307,1.0,46,14,11,0.5769094177867199
7,0.9745,0.978927361375093,1.0,0.9587245063127225,46,10,17,0.5743870967924704
8,0.99955,0.9996359370575624,0.999272139102305,1.0,50,4,22,0.6097957992301384
9,1.0,1.0,1.0,1.0,46,11,19,0.5639740170226382
10,1.0,1.0,1.0,1.0,38,8,17,0.5885266419432339
11,1.0,1.0,1.0,1.0,41,17,19,0.5608470244234333
12,1.0,1.0,1.0,1.0,45,3,22,0.6009442544652919
13,1.0,1.0,1.0,1.0,48,8,18,0.5774871615876059
14,1.0,1.0,1.0,1.0,23,33,18,0.47273230553785983
15,1.0,1.0,1.0,1.0,20,38,19,0.476557775855035
16,1.0,1.0,1.0,1.0,28,7,41,0.4487707411823443
17,1.0,1.0,1.0,1.0,23,34,17,0.47031737954172015
18,1.0,1.0,1.0,1.0,32,12,35,0.4806617361165909
19,1.0,1.0,1.0,1.0,30,24,17,0.4992018898753451
20,1.0,1.0,1.0,1.0,29,9,37,0.46490921714386424
21,1.0,1.0,1.0,1.0,19,36,19,0.4749675878044772
22,0.9998,0.9998381091144569,1.0,0.9996762706377469,28,2,42,0.4406218233158338
23,1.0,1.0,1.0,1.0,49,11,17,0.5842307783046397
24,1.0,1.0,1.0,1.0,33,12,30,0.5087564368179119
25,1.0,1.0,1.0,1.0,18,35,18,0.4768294521401267
