block,method,attack,rho,alpha,spoof,seed,round,accuracy,f1,precision,recall
amftas,amfta_s,label_flipping,0.10,0.50,0.00,42,1,0.6178,0.7637532451477316,0.6178,1.0
amftas,amfta_s,label_flipping,0.10,0.50,0.00,42,2,0.61825,0.763965746437073,0.6180781351608223,1.0
amftas,amfta_s,label_flipping,0.10,0.50,0.00,42,3,0.77235,0.8444216641038783,0.730735111479094,1.0
amftas,amfta_s,label_flipping,0.10,0.50,0.00,42,4,0.8364,0.883076043453402,0.7906321986178654,1.0
amftas,amfta_s,label_flipping,0.10,0.50,0.00,42,5,0.99885,0.999070143521326,0.9981420147023184,1.0
amftas,amfta_s,label_flipping,0.10,0.50,0.00,42,6,0.99865,0.9989086058450221,0.9978195913752725,1.0
amftas,amfta_s,label_flipping,0.10,0.50,0.00,42,7,1.0,1.0,1.0,1.0
amftas,amfta_s,label_flipping,0.10,0.50,0.00,42,8,1.0,1.0,1.0,1.0
amftas,amfta_s,label_flipping,0.10,0.50,0.00,42,9,1.0,1.0,1.0,1.0
amftas,amfta_s,label_flipping,0.10,0.50,0.00,42,10,1.0,1.0,1.0,1.0
amftas,amfta_s,label_flipping,0.10,0.50,0.00,42,11,1.0,1.0,1.0,1.0
amftas,amfta_s,label_flipping,0.10,0.50,0.00,42,12,1.0,1.0,1.0,1.0
amftas,amfta_s,label_flipping,0.10,0.50,0.00,42,13,1.0,1.0,1.0,1.0
amftas,amfta_s,label_flipping,0.10,0.50,0.00,42,14,1.0,1.0,1.0,1.0
amftas,amfta_s,label_flipping,0.10,0.50,0.00,42,15,1.0,1.0,1.0,1.0
amftas,amfta_s,label_flipping,0.10,0.50,0.00,42,16,1.0,1.0,1.0,1.0
amftas,amfta_s,label_flipping,0.10,0.50,0.00,42,17,1.0,1.0,1.0,1.0
amftas,amfta_s,label_flipping,0.10,0.50,0.00,42,18,1.0,1.0,1.0,1.0
amftas,amfta_s,label_flipping,0.10,0.50,0.00,42,19,1.0,1.0,1.0,1.0
amftas,amfta_s,label_flipping,0.10,0.50,0.00,42,20,1.0,1.0,1.0,1.0
